id,vc,lc,dc,fc,cc
681,668187,692,70,0,115
682,3598,29,1,0,5
683,24503,48,3,0,0
684,200,5,1,2,1
685,20049,33,6,0,1
686,33,0,0,0,0
687,94221,160,14,0,25
688,14620,368,0,0,14
689,284900,235,28,0,53
690,17431,225,6,0,7
691,37683,33,0,0,35
692,25575,91,2,0,42
693,63785,213,7,0,16
694,47069,76,7,0,6
695,88535,107,9,0,5
696,2209,8,1,0,0
697,150927,72,19,0,13
698,2781873,1076,133,0,121
699,250141,199,10,0,60
700,1507,0,0,0,0
701,14974,14,0,0,1
702,69765,43,6,0,6
703,3028645,1932,749,0,156
704,18351,13,5,0,1
705,35126,129,9,0,20
706,68857,153,6,0,16
707,4509,11,1,0,4
708,35944,56,4,0,13
709,134174,107,48,0,1
710,10196,17,0,0,0
711,125432,356,15,0,39
712,5498,8,0,0,8
713,9743,54,2,0,5
714,28946,22,6,0,2
715,1257,0,0,0,1
716,9565,74,4,0,9
717,5466,7,0,0,7
718,15753,87,13,0,10
719,3412,41,0,0,2
720,93796,215,8,0,12
721,107882,350,9,0,13
722,8454,11,0,0,1
723,17807,34,6,0,3
724,147424,250,9,0,50
725,2175,10,0,0,1
726,13008,41,2,0,3
727,56213,76,6,0,16
728,135258,84,4,0,24
729,391796,347,55,0,44
730,125741,591,9,0,72
731,4944,30,2,0,0
732,43105,35,17,0,6
733,6155,17,2,0,2
734,3411,9,1,0,2
735,89385,114,13,0,35
736,7087,16,0,0,1
737,75139,63,12,0,13
738,21910,111,3,0,20
739,104021,50,18,0,0
740,185510,122,18,0,58
741,2514,4,2,0,0
742,58411,65,14,0,11
743,5606,21,0,0,2
744,70966,319,11,0,42
745,5807,13,0,0,1
746,10491,17,0,0,5
747,1941,11,3,0,2
748,84639,196,4,0,42
749,27129,52,2,0,1
750,2729,12,1,0,0
751,3973,12,0,0,0
752,40542,425,17,0,12
753,1316,12,0,0,2
754,18976,56,1,0,4
755,9263,8,1,0,4
756,114296,246,21,0,26
757,2315,12,2,0,1
758,15179,20,0,0,1
759,49836,20,3,0,5
760,48481,29,3,0,0
761,70364,130,27,0,17
762,11137,5,1,0,1
763,86408,110,23,0,14
764,1262,23,1,0,3
765,8110,33,4,0,8
766,35618,40,1,0,5
767,132608,399,24,0,12
768,1125,1,0,0,0
769,52913,48,17,0,16
770,4669,15,6,0,3
771,6839,17,1,0,4
772,4097,12,0,0,2
773,2832,9,0,0,1
774,135704,102,15,0,10
775,4568,12,23,0,2
776,156923,78,13,0,29
777,548180,380,86,0,45
778,12115,36,0,0,0
779,70718,175,9,0,9
780,15229,69,2,0,32
781,49854,73,4,0,9
782,23171,106,3,0,40
783,3484,8,1,0,1
784,79962,124,6,0,15
785,36144,51,12,0,17
786,17052,204,5,0,12
787,37120,181,3,0,21
788,161107,50,34,0,49
789,57443,235,18,0,29
790,134231,242,12,0,5
791,311171,377,75,0,151
792,43154,81,4,0,9
793,7824,25,1,0,2
794,31940,113,1,0,21
795,3377,10,2,0,1
796,56946,137,14,0,19
797,96844,91,6,0,9
798,132592,202,13,0,30
799,90533,220,14,0,88
800,3283,10,7,0,2
801,76273,116,25,0,61
802,22513,53,7,0,6
803,9823,15,0,0,1
804,6600,50,1,0,3
805,34145,19,9,0,6
806,13326,28,0,0,20
807,106018,247,6,0,17
808,193023,505,677,0,45
809,1480,6,1,0,0
810,11236,21,0,0,1
811,16930,4,8,0,0
812,14023,14,1,0,3
813,40357,206,8,0,6
814,1920,8,0,0,1
815,3323,25,1,0,3
816,9466,21,0,0,6
817,237425,443,76,0,42
818,4744,10,1,0,5
819,4720,5,1,0,2
820,757439,1419,144,0,208
821,5710,32,1,0,13
822,12170,35,3,0,5
823,15016,80,1,0,11
824,3766,35,0,0,0
825,8341,58,1,0,5
826,430413,317,680,0,247
827,7794,32,1,0,7
828,26282,32,7,0,1
829,2426,13,0,0,4
830,7306,17,3,0,2
831,4713,38,1,0,0
832,47523,124,9,0,3
833,15513,52,5,0,3
834,44589,65,5,0,15
835,1589,6,0,0,1
836,117525,279,53,0,40
837,200,20,10,5,6
838,23317,40,1,0,7
839,300,40,3,5,8
840,33370,84,0,0,8
841,9159,13,1,0,1
842,5320,16,1,0,0
843,101901,212,14,0,6
844,1455,2,0,0,1
